EPOCH 1 - loss: 1.085, accuracy: 0.3167 
EPOCH 2 - loss: 1.0453, accuracy: 0.6229 
EPOCH 3 - loss: 1.0077, accuracy: 0.8021 
EPOCH 4 - loss: 0.9702, accuracy: 0.9375 
EPOCH 5 - loss: 0.9315, accuracy: 0.9583 
EPOCH 6 - loss: 0.891, accuracy: 0.9583 
EPOCH 7 - loss: 0.8447, accuracy: 0.9583 
EPOCH 8 - loss: 0.79, accuracy: 0.9583 
EPOCH 9 - loss: 0.7192, accuracy: 0.9583 
EPOCH 10 - loss: 0.6191, accuracy: 0.9583 
EPOCH 11 - loss: 0.4535, accuracy: 0.9583 
EPOCH 12 - loss: 0.2743, accuracy: 0.9583 
EPOCH 13 - loss: 0.1857, accuracy: 0.9583 
EPOCH 14 - loss: 0.2013, accuracy: 0.9583 
EPOCH 15 - loss: 0.2251, accuracy: 0.9583 
EPOCH 16 - loss: 0.2167, accuracy: 0.9583 
EPOCH 17 - loss: 0.1912, accuracy: 0.9583 
EPOCH 18 - loss: 0.1745, accuracy: 0.9583 
EPOCH 19 - loss: 0.1686, accuracy: 0.9583 
EPOCH 20 - loss: 0.1727, accuracy: 0.9583 
EPOCH 21 - loss: 0.1756, accuracy: 0.9583 
EPOCH 22 - loss: 0.172, accuracy: 0.9583 
EPOCH 23 - loss: 0.1662, accuracy: 0.9583 
EPOCH 24 - loss: 0.1636, accuracy: 0.9583 
EPOCH 25 - loss: 0.1621, accuracy: 0.9583 
EPOCH 26 - loss: 0.1619, accuracy: 0.9583 
EPOCH 27 - loss: 0.1606, accuracy: 0.9583 
EPOCH 28 - loss: 0.1593, accuracy: 0.9583 
EPOCH 29 - loss: 0.1577, accuracy: 0.9583 
EPOCH 30 - loss: 0.1572, accuracy: 0.9583 
EPOCH 31 - loss: 0.1565, accuracy: 0.9583 
EPOCH 32 - loss: 0.156, accuracy: 0.9583 
EPOCH 33 - loss: 0.1554, accuracy: 0.9583 
EPOCH 34 - loss: 0.1546, accuracy: 0.9583 
EPOCH 35 - loss: 0.1538, accuracy: 0.9583 
EPOCH 36 - loss: 0.1535, accuracy: 0.9583 
EPOCH 37 - loss: 0.1528, accuracy: 0.9583 
EPOCH 38 - loss: 0.1521, accuracy: 0.9583 
EPOCH 39 - loss: 0.1516, accuracy: 0.9583 
EPOCH 40 - loss: 0.1511, accuracy: 0.9583 
EPOCH 41 - loss: 0.1505, accuracy: 0.9583 
EPOCH 42 - loss: 0.15, accuracy: 0.9583 
EPOCH 43 - loss: 0.1496, accuracy: 0.9583 
EPOCH 44 - loss: 0.1491, accuracy: 0.9583 
EPOCH 45 - loss: 0.1485, accuracy: 0.9583 
EPOCH 46 - loss: 0.148, accuracy: 0.9583 
EPOCH 47 - loss: 0.1475, accuracy: 0.9583 
EPOCH 48 - loss: 0.1474, accuracy: 0.9583 
EPOCH 49 - loss: 0.1469, accuracy: 0.9583 
EPOCH 50 - loss: 0.147, accuracy: 0.9583 
EPOCH 51 - loss: 0.146, accuracy: 0.9583 
EPOCH 52 - loss: 0.1454, accuracy: 0.9583 
EPOCH 53 - loss: 0.1452, accuracy: 0.9583 
EPOCH 54 - loss: 0.1451, accuracy: 0.9583 
EPOCH 55 - loss: 0.1448, accuracy: 0.9583 
EPOCH 56 - loss: 0.1441, accuracy: 0.9583 
EPOCH 57 - loss: 0.1435, accuracy: 0.9583 
EPOCH 58 - loss: 0.1433, accuracy: 0.9583 
EPOCH 59 - loss: 0.1429, accuracy: 0.9583 
EPOCH 60 - loss: 0.1427, accuracy: 0.9583 
EPOCH 61 - loss: 0.1423, accuracy: 0.9583 
EPOCH 62 - loss: 0.142, accuracy: 0.9583 
EPOCH 63 - loss: 0.1416, accuracy: 0.9583 
