EPOCH 1 - loss: 0.7712, accuracy: 0.8461 
EPOCH 2 - loss: 0.3099, accuracy: 0.9551 
EPOCH 3 - loss: 0.2014, accuracy: 0.9551 
EPOCH 4 - loss: 0.1885, accuracy: 0.9551 
EPOCH 5 - loss: 0.1826, accuracy: 0.9551 
EPOCH 6 - loss: 0.1787, accuracy: 0.9551 
EPOCH 7 - loss: 0.1758, accuracy: 0.9551 
EPOCH 8 - loss: 0.1732, accuracy: 0.9551 
EPOCH 9 - loss: 0.1711, accuracy: 0.9551 
EPOCH 10 - loss: 0.1692, accuracy: 0.9551 
EPOCH 11 - loss: 0.1674, accuracy: 0.9551 
EPOCH 12 - loss: 0.1658, accuracy: 0.9551 
EPOCH 13 - loss: 0.1642, accuracy: 0.9551 
EPOCH 14 - loss: 0.1628, accuracy: 0.9551 
EPOCH 15 - loss: 0.1613, accuracy: 0.9551 
EPOCH 16 - loss: 0.16, accuracy: 0.9551 
EPOCH 17 - loss: 0.1587, accuracy: 0.9551 
EPOCH 18 - loss: 0.1576, accuracy: 0.9551 
EPOCH 19 - loss: 0.1564, accuracy: 0.9551 
EPOCH 20 - loss: 0.1553, accuracy: 0.9551 
EPOCH 21 - loss: 0.1545, accuracy: 0.9551 
EPOCH 22 - loss: 0.1535, accuracy: 0.9551 
EPOCH 23 - loss: 0.153, accuracy: 0.9551 
EPOCH 24 - loss: 0.1518, accuracy: 0.9551 
EPOCH 25 - loss: 0.1511, accuracy: 0.9551 
EPOCH 26 - loss: 0.1505, accuracy: 0.9551 
EPOCH 27 - loss: 0.1495, accuracy: 0.9551 
EPOCH 28 - loss: 0.1488, accuracy: 0.9551 
EPOCH 29 - loss: 0.1481, accuracy: 0.9551 
EPOCH 30 - loss: 0.1476, accuracy: 0.9551 
EPOCH 31 - loss: 0.1469, accuracy: 0.9551 
EPOCH 32 - loss: 0.1463, accuracy: 0.9551 
EPOCH 33 - loss: 0.1459, accuracy: 0.9551 
EPOCH 34 - loss: 0.1455, accuracy: 0.9551 
EPOCH 35 - loss: 0.1452, accuracy: 0.9551 
EPOCH 36 - loss: 0.1446, accuracy: 0.9551 
EPOCH 37 - loss: 0.144, accuracy: 0.9551 
EPOCH 38 - loss: 0.1439, accuracy: 0.9551 
EPOCH 39 - loss: 0.1429, accuracy: 0.9551 
EPOCH 40 - loss: 0.1425, accuracy: 0.9551 
EPOCH 41 - loss: 0.1421, accuracy: 0.9551 
