EPOCH 1 - loss: 0.761, accuracy: 0.932 
EPOCH 2 - loss: 0.2823, accuracy: 0.9567 
EPOCH 3 - loss: 0.1885, accuracy: 0.9567 
EPOCH 4 - loss: 0.1795, accuracy: 0.9567 
EPOCH 5 - loss: 0.175, accuracy: 0.9567 
EPOCH 6 - loss: 0.1718, accuracy: 0.9567 
EPOCH 7 - loss: 0.1693, accuracy: 0.9567 
EPOCH 8 - loss: 0.1674, accuracy: 0.9567 
EPOCH 9 - loss: 0.1657, accuracy: 0.9567 
EPOCH 10 - loss: 0.1641, accuracy: 0.9567 
EPOCH 11 - loss: 0.1627, accuracy: 0.9567 
EPOCH 12 - loss: 0.1612, accuracy: 0.9567 
EPOCH 13 - loss: 0.1599, accuracy: 0.9567 
EPOCH 14 - loss: 0.1585, accuracy: 0.9567 
EPOCH 15 - loss: 0.157, accuracy: 0.9567 
EPOCH 16 - loss: 0.1552, accuracy: 0.9567 
EPOCH 17 - loss: 0.1536, accuracy: 0.9567 
EPOCH 18 - loss: 0.1519, accuracy: 0.9567 
EPOCH 19 - loss: 0.1506, accuracy: 0.9567 
EPOCH 20 - loss: 0.1492, accuracy: 0.9567 
EPOCH 21 - loss: 0.1481, accuracy: 0.9567 
EPOCH 22 - loss: 0.1468, accuracy: 0.9567 
EPOCH 23 - loss: 0.1457, accuracy: 0.9567 
EPOCH 24 - loss: 0.1449, accuracy: 0.9567 
EPOCH 25 - loss: 0.1443, accuracy: 0.9567 
EPOCH 26 - loss: 0.1432, accuracy: 0.9567 
EPOCH 27 - loss: 0.1424, accuracy: 0.9567 
EPOCH 28 - loss: 0.1419, accuracy: 0.9567 
EPOCH 29 - loss: 0.141, accuracy: 0.9567 
EPOCH 30 - loss: 0.1402, accuracy: 0.9567 
EPOCH 31 - loss: 0.1395, accuracy: 0.9567 
EPOCH 32 - loss: 0.1389, accuracy: 0.9567 
EPOCH 33 - loss: 0.1383, accuracy: 0.9567 
EPOCH 34 - loss: 0.138, accuracy: 0.9567 
EPOCH 35 - loss: 0.1374, accuracy: 0.9567 
EPOCH 36 - loss: 0.1366, accuracy: 0.9567 
EPOCH 37 - loss: 0.1361, accuracy: 0.9567 
EPOCH 38 - loss: 0.1357, accuracy: 0.9567 
EPOCH 39 - loss: 0.1356, accuracy: 0.9567 
EPOCH 40 - loss: 0.1346, accuracy: 0.9567 
EPOCH 41 - loss: 0.1343, accuracy: 0.9567 
EPOCH 42 - loss: 0.1339, accuracy: 0.9567 
EPOCH 43 - loss: 0.1334, accuracy: 0.9567 
EPOCH 44 - loss: 0.1332, accuracy: 0.9567 
EPOCH 45 - loss: 0.1327, accuracy: 0.9567 
EPOCH 46 - loss: 0.1323, accuracy: 0.9567 
EPOCH 47 - loss: 0.1321, accuracy: 0.9567 
EPOCH 48 - loss: 0.1317, accuracy: 0.9567 
EPOCH 49 - loss: 0.1312, accuracy: 0.9567 
EPOCH 50 - loss: 0.1308, accuracy: 0.9567 
EPOCH 51 - loss: 0.1308, accuracy: 0.9567 
EPOCH 52 - loss: 0.1305, accuracy: 0.9567 
EPOCH 53 - loss: 0.1302, accuracy: 0.9567 
EPOCH 54 - loss: 0.1297, accuracy: 0.9567 
EPOCH 55 - loss: 0.1294, accuracy: 0.9567 
EPOCH 56 - loss: 0.129, accuracy: 0.9567 
EPOCH 57 - loss: 0.1287, accuracy: 0.9567 
EPOCH 58 - loss: 0.1285, accuracy: 0.9567 
EPOCH 59 - loss: 0.1281, accuracy: 0.9567 
EPOCH 60 - loss: 0.1279, accuracy: 0.9567 
EPOCH 61 - loss: 0.1277, accuracy: 0.9567 
EPOCH 62 - loss: 0.1274, accuracy: 0.9567 
EPOCH 63 - loss: 0.1273, accuracy: 0.9567 
EPOCH 64 - loss: 0.1268, accuracy: 0.9567 
EPOCH 65 - loss: 0.1267, accuracy: 0.9567 
EPOCH 66 - loss: 0.1264, accuracy: 0.9567 
EPOCH 67 - loss: 0.1264, accuracy: 0.9567 
EPOCH 68 - loss: 0.1262, accuracy: 0.9567 
EPOCH 69 - loss: 0.1257, accuracy: 0.9567 
EPOCH 70 - loss: 0.1253, accuracy: 0.9567 
EPOCH 71 - loss: 0.125, accuracy: 0.9567 
EPOCH 72 - loss: 0.1247, accuracy: 0.9567 
EPOCH 73 - loss: 0.1245, accuracy: 0.9567 
EPOCH 74 - loss: 0.1245, accuracy: 0.9567 
EPOCH 75 - loss: 0.1242, accuracy: 0.9567 
EPOCH 76 - loss: 0.1236, accuracy: 0.9567 
EPOCH 77 - loss: 0.1236, accuracy: 0.9567 
EPOCH 78 - loss: 0.1232, accuracy: 0.9567 
EPOCH 79 - loss: 0.1233, accuracy: 0.9567 
EPOCH 80 - loss: 0.1224, accuracy: 0.9567 
EPOCH 81 - loss: 0.1225, accuracy: 0.9567 
EPOCH 82 - loss: 0.1219, accuracy: 0.9567 
EPOCH 83 - loss: 0.1216, accuracy: 0.9567 
EPOCH 84 - loss: 0.1214, accuracy: 0.9567 
EPOCH 85 - loss: 0.1208, accuracy: 0.9567 
EPOCH 86 - loss: 0.1207, accuracy: 0.9567 
EPOCH 87 - loss: 0.1207, accuracy: 0.9567 
EPOCH 88 - loss: 0.1203, accuracy: 0.9567 
EPOCH 89 - loss: 0.1195, accuracy: 0.9567 
EPOCH 90 - loss: 0.1193, accuracy: 0.9568 
EPOCH 91 - loss: 0.119, accuracy: 0.9567 
EPOCH 92 - loss: 0.1185, accuracy: 0.9568 
EPOCH 93 - loss: 0.1181, accuracy: 0.9567 
EPOCH 94 - loss: 0.1178, accuracy: 0.9568 
EPOCH 95 - loss: 0.1172, accuracy: 0.9567 
EPOCH 96 - loss: 0.1171, accuracy: 0.9569 
EPOCH 97 - loss: 0.1172, accuracy: 0.9568 
EPOCH 98 - loss: 0.1166, accuracy: 0.9567 
EPOCH 99 - loss: 0.116, accuracy: 0.9569 
EPOCH 100 - loss: 0.1162, accuracy: 0.9568 
EPOCH 101 - loss: 0.1154, accuracy: 0.9569 
EPOCH 102 - loss: 0.1149, accuracy: 0.9568 
EPOCH 103 - loss: 0.1145, accuracy: 0.9567 
EPOCH 104 - loss: 0.1145, accuracy: 0.9567 
EPOCH 105 - loss: 0.1139, accuracy: 0.9568 
EPOCH 106 - loss: 0.1137, accuracy: 0.9569 
EPOCH 107 - loss: 0.1133, accuracy: 0.9568 
EPOCH 108 - loss: 0.1128, accuracy: 0.9569 
EPOCH 109 - loss: 0.1126, accuracy: 0.9568 
EPOCH 110 - loss: 0.1122, accuracy: 0.9567 
EPOCH 111 - loss: 0.1115, accuracy: 0.9568 
EPOCH 112 - loss: 0.1109, accuracy: 0.9568 
EPOCH 113 - loss: 0.1113, accuracy: 0.9567 
EPOCH 114 - loss: 0.1108, accuracy: 0.9569 
EPOCH 115 - loss: 0.1105, accuracy: 0.9568 
EPOCH 116 - loss: 0.11, accuracy: 0.9568 
EPOCH 117 - loss: 0.1096, accuracy: 0.9568 
EPOCH 118 - loss: 0.1094, accuracy: 0.9569 
EPOCH 119 - loss: 0.1091, accuracy: 0.9569 
EPOCH 120 - loss: 0.1088, accuracy: 0.9569 
EPOCH 121 - loss: 0.1081, accuracy: 0.9568 
EPOCH 122 - loss: 0.108, accuracy: 0.9568 
EPOCH 123 - loss: 0.1075, accuracy: 0.9568 
EPOCH 124 - loss: 0.1074, accuracy: 0.9568 
EPOCH 125 - loss: 0.1068, accuracy: 0.9568 
EPOCH 126 - loss: 0.1067, accuracy: 0.9569 
EPOCH 127 - loss: 0.1066, accuracy: 0.9568 
EPOCH 128 - loss: 0.1061, accuracy: 0.9569 
