EPOCH 1 - loss: 1.1827, accuracy: 0.0813 
EPOCH 2 - loss: 1.1491, accuracy: 0.0813 
EPOCH 3 - loss: 1.1168, accuracy: 0.0955 
EPOCH 4 - loss: 1.0851, accuracy: 0.2927 
EPOCH 5 - loss: 1.0526, accuracy: 0.8537 
EPOCH 6 - loss: 1.0189, accuracy: 0.9411 
EPOCH 7 - loss: 0.9827, accuracy: 0.9512 
EPOCH 8 - loss: 0.942, accuracy: 0.9593 
EPOCH 9 - loss: 0.8981, accuracy: 0.9593 
EPOCH 10 - loss: 0.8519, accuracy: 0.9634 
EPOCH 11 - loss: 0.8054, accuracy: 0.9634 
EPOCH 12 - loss: 0.762, accuracy: 0.9634 
EPOCH 13 - loss: 0.7171, accuracy: 0.9634 
EPOCH 14 - loss: 0.6676, accuracy: 0.9634 
EPOCH 15 - loss: 0.6104, accuracy: 0.9634 
EPOCH 16 - loss: 0.5428, accuracy: 0.9634 
EPOCH 17 - loss: 0.467, accuracy: 0.9634 
EPOCH 18 - loss: 0.3803, accuracy: 0.9634 
EPOCH 19 - loss: 0.297, accuracy: 0.9634 
EPOCH 20 - loss: 0.2276, accuracy: 0.9634 
EPOCH 21 - loss: 0.1926, accuracy: 0.9634 
EPOCH 22 - loss: 0.1855, accuracy: 0.9634 
EPOCH 23 - loss: 0.1938, accuracy: 0.9634 
EPOCH 24 - loss: 0.1945, accuracy: 0.9634 
EPOCH 25 - loss: 0.1889, accuracy: 0.9634 
EPOCH 26 - loss: 0.1801, accuracy: 0.9634 
EPOCH 27 - loss: 0.1701, accuracy: 0.9634 
EPOCH 28 - loss: 0.1645, accuracy: 0.9634 
EPOCH 29 - loss: 0.1619, accuracy: 0.9634 
EPOCH 30 - loss: 0.1628, accuracy: 0.9634 
EPOCH 31 - loss: 0.1625, accuracy: 0.9634 
EPOCH 32 - loss: 0.1612, accuracy: 0.9634 
EPOCH 33 - loss: 0.1591, accuracy: 0.9634 
EPOCH 34 - loss: 0.1566, accuracy: 0.9634 
EPOCH 35 - loss: 0.1557, accuracy: 0.9634 
EPOCH 36 - loss: 0.1544, accuracy: 0.9634 
EPOCH 37 - loss: 0.1541, accuracy: 0.9634 
EPOCH 38 - loss: 0.1538, accuracy: 0.9634 
EPOCH 39 - loss: 0.1534, accuracy: 0.9634 
EPOCH 40 - loss: 0.1531, accuracy: 0.9634 
EPOCH 41 - loss: 0.1526, accuracy: 0.9634 
EPOCH 42 - loss: 0.1517, accuracy: 0.9634 
EPOCH 43 - loss: 0.1512, accuracy: 0.9634 
EPOCH 44 - loss: 0.1508, accuracy: 0.9634 
EPOCH 45 - loss: 0.1504, accuracy: 0.9634 
EPOCH 46 - loss: 0.15, accuracy: 0.9634 
EPOCH 47 - loss: 0.1498, accuracy: 0.9634 
EPOCH 48 - loss: 0.1493, accuracy: 0.9634 
EPOCH 49 - loss: 0.1489, accuracy: 0.9634 
EPOCH 50 - loss: 0.1487, accuracy: 0.9634 
EPOCH 51 - loss: 0.1485, accuracy: 0.9634 
EPOCH 52 - loss: 0.148, accuracy: 0.9634 
