EPOCH 1 - loss: 1.2069, accuracy: 0.0366 
EPOCH 2 - loss: 1.1829, accuracy: 0.0366 
EPOCH 3 - loss: 1.1603, accuracy: 0.0366 
EPOCH 4 - loss: 1.1388, accuracy: 0.0549 
EPOCH 5 - loss: 1.1177, accuracy: 0.0732 
EPOCH 6 - loss: 1.0972, accuracy: 0.1301 
EPOCH 7 - loss: 1.0766, accuracy: 0.2337 
EPOCH 8 - loss: 1.0559, accuracy: 0.3293 
EPOCH 9 - loss: 1.0346, accuracy: 0.435 
EPOCH 10 - loss: 1.0121, accuracy: 0.626 
EPOCH 11 - loss: 0.9871, accuracy: 0.8354 
EPOCH 12 - loss: 0.9591, accuracy: 0.9553 
EPOCH 13 - loss: 0.928, accuracy: 0.9593 
EPOCH 14 - loss: 0.8941, accuracy: 0.9634 
EPOCH 15 - loss: 0.8571, accuracy: 0.9634 
EPOCH 16 - loss: 0.8152, accuracy: 0.9634 
EPOCH 17 - loss: 0.7678, accuracy: 0.9634 
EPOCH 18 - loss: 0.7119, accuracy: 0.9634 
EPOCH 19 - loss: 0.6451, accuracy: 0.9634 
EPOCH 20 - loss: 0.5579, accuracy: 0.9634 
EPOCH 21 - loss: 0.4467, accuracy: 0.9634 
EPOCH 22 - loss: 0.3138, accuracy: 0.9634 
EPOCH 23 - loss: 0.212, accuracy: 0.9634 
EPOCH 24 - loss: 0.1792, accuracy: 0.9634 
EPOCH 25 - loss: 0.2006, accuracy: 0.9634 
EPOCH 26 - loss: 0.211, accuracy: 0.9634 
EPOCH 27 - loss: 0.2007, accuracy: 0.9634 
EPOCH 28 - loss: 0.1829, accuracy: 0.9634 
EPOCH 29 - loss: 0.17, accuracy: 0.9634 
EPOCH 30 - loss: 0.1635, accuracy: 0.9634 
EPOCH 31 - loss: 0.1633, accuracy: 0.9634 
EPOCH 32 - loss: 0.1645, accuracy: 0.9634 
EPOCH 33 - loss: 0.1627, accuracy: 0.9634 
EPOCH 34 - loss: 0.1591, accuracy: 0.9634 
EPOCH 35 - loss: 0.1546, accuracy: 0.9634 
EPOCH 36 - loss: 0.1541, accuracy: 0.9634 
EPOCH 37 - loss: 0.1531, accuracy: 0.9634 
