EPOCH 1 - loss: 1.4447, accuracy: 0.0 
EPOCH 2 - loss: 1.325, accuracy: 0.0 
EPOCH 3 - loss: 1.2491, accuracy: 0.0 
EPOCH 4 - loss: 1.1925, accuracy: 0.0 
EPOCH 5 - loss: 1.1474, accuracy: 0.002 
EPOCH 6 - loss: 1.108, accuracy: 0.043 
EPOCH 7 - loss: 1.0726, accuracy: 0.2992 
EPOCH 8 - loss: 1.0382, accuracy: 0.6025 
EPOCH 9 - loss: 1.0027, accuracy: 0.7664 
EPOCH 10 - loss: 0.9632, accuracy: 0.873 
EPOCH 11 - loss: 0.9177, accuracy: 0.8832 
EPOCH 12 - loss: 0.8634, accuracy: 0.8975 
EPOCH 13 - loss: 0.7968, accuracy: 0.9467 
EPOCH 14 - loss: 0.7147, accuracy: 0.9672 
EPOCH 15 - loss: 0.6091, accuracy: 0.9672 
EPOCH 16 - loss: 0.4756, accuracy: 0.9672 
EPOCH 17 - loss: 0.3273, accuracy: 0.9672 
EPOCH 18 - loss: 0.2241, accuracy: 0.9672 
EPOCH 19 - loss: 0.1889, accuracy: 0.9672 
EPOCH 20 - loss: 0.2159, accuracy: 0.9672 
EPOCH 21 - loss: 0.2277, accuracy: 0.9672 
EPOCH 22 - loss: 0.2195, accuracy: 0.9672 
EPOCH 23 - loss: 0.2023, accuracy: 0.9672 
EPOCH 24 - loss: 0.184, accuracy: 0.9672 
EPOCH 25 - loss: 0.1729, accuracy: 0.9672 
EPOCH 26 - loss: 0.1679, accuracy: 0.9672 
EPOCH 27 - loss: 0.1667, accuracy: 0.9672 
EPOCH 28 - loss: 0.1645, accuracy: 0.9672 
EPOCH 29 - loss: 0.1597, accuracy: 0.9672 
EPOCH 30 - loss: 0.1545, accuracy: 0.9672 
EPOCH 31 - loss: 0.1512, accuracy: 0.9672 
EPOCH 32 - loss: 0.1494, accuracy: 0.9672 
EPOCH 33 - loss: 0.1476, accuracy: 0.9672 
EPOCH 34 - loss: 0.1453, accuracy: 0.9672 
EPOCH 35 - loss: 0.1427, accuracy: 0.9672 
EPOCH 36 - loss: 0.1409, accuracy: 0.9672 
EPOCH 37 - loss: 0.1385, accuracy: 0.9672 
EPOCH 38 - loss: 0.1371, accuracy: 0.9672 
EPOCH 39 - loss: 0.1367, accuracy: 0.9672 
EPOCH 40 - loss: 0.1356, accuracy: 0.9672 
EPOCH 41 - loss: 0.1345, accuracy: 0.9672 
EPOCH 42 - loss: 0.1332, accuracy: 0.9672 
EPOCH 43 - loss: 0.1321, accuracy: 0.9672 
EPOCH 44 - loss: 0.1313, accuracy: 0.9672 
EPOCH 45 - loss: 0.1309, accuracy: 0.9672 
EPOCH 46 - loss: 0.1306, accuracy: 0.9672 
EPOCH 47 - loss: 0.1301, accuracy: 0.9672 
EPOCH 48 - loss: 0.1298, accuracy: 0.9672 
EPOCH 49 - loss: 0.1291, accuracy: 0.9672 
EPOCH 50 - loss: 0.1291, accuracy: 0.9672 
EPOCH 51 - loss: 0.1284, accuracy: 0.9672 
EPOCH 52 - loss: 0.1281, accuracy: 0.9672 
EPOCH 53 - loss: 0.1279, accuracy: 0.9672 
EPOCH 54 - loss: 0.1277, accuracy: 0.9672 
EPOCH 55 - loss: 0.1273, accuracy: 0.9672 
EPOCH 56 - loss: 0.1274, accuracy: 0.9672 
EPOCH 57 - loss: 0.1273, accuracy: 0.9672 
EPOCH 58 - loss: 0.1268, accuracy: 0.9672 
EPOCH 59 - loss: 0.1266, accuracy: 0.9672 
EPOCH 60 - loss: 0.1264, accuracy: 0.9672 
EPOCH 61 - loss: 0.1261, accuracy: 0.9672 
EPOCH 62 - loss: 0.1259, accuracy: 0.9672 
EPOCH 63 - loss: 0.1257, accuracy: 0.9672 
EPOCH 64 - loss: 0.1255, accuracy: 0.9672 
EPOCH 65 - loss: 0.1253, accuracy: 0.9672 
EPOCH 66 - loss: 0.1251, accuracy: 0.9672 
