EPOCH 1 - loss: 0.9295, accuracy: 0.6555 
EPOCH 2 - loss: 0.3481, accuracy: 0.9552 
EPOCH 3 - loss: 0.2073, accuracy: 0.9552 
EPOCH 4 - loss: 0.1902, accuracy: 0.9552 
EPOCH 5 - loss: 0.1833, accuracy: 0.9552 
EPOCH 6 - loss: 0.1788, accuracy: 0.9552 
EPOCH 7 - loss: 0.1752, accuracy: 0.9552 
EPOCH 8 - loss: 0.1724, accuracy: 0.9552 
EPOCH 9 - loss: 0.17, accuracy: 0.9552 
EPOCH 10 - loss: 0.1679, accuracy: 0.9552 
EPOCH 11 - loss: 0.1661, accuracy: 0.9552 
EPOCH 12 - loss: 0.1645, accuracy: 0.9552 
EPOCH 13 - loss: 0.1629, accuracy: 0.9552 
EPOCH 14 - loss: 0.1616, accuracy: 0.9552 
EPOCH 15 - loss: 0.1602, accuracy: 0.9552 
EPOCH 16 - loss: 0.1591, accuracy: 0.9552 
EPOCH 17 - loss: 0.1579, accuracy: 0.9552 
EPOCH 18 - loss: 0.1569, accuracy: 0.9552 
EPOCH 19 - loss: 0.1561, accuracy: 0.9552 
EPOCH 20 - loss: 0.155, accuracy: 0.9552 
EPOCH 21 - loss: 0.1542, accuracy: 0.9552 
EPOCH 22 - loss: 0.1537, accuracy: 0.9552 
EPOCH 23 - loss: 0.1529, accuracy: 0.9552 
EPOCH 24 - loss: 0.1519, accuracy: 0.9552 
EPOCH 25 - loss: 0.1512, accuracy: 0.9552 
EPOCH 26 - loss: 0.1506, accuracy: 0.9552 
EPOCH 27 - loss: 0.1501, accuracy: 0.9552 
EPOCH 28 - loss: 0.1491, accuracy: 0.9552 
EPOCH 29 - loss: 0.1489, accuracy: 0.9552 
EPOCH 30 - loss: 0.1483, accuracy: 0.9552 
EPOCH 31 - loss: 0.1476, accuracy: 0.9552 
EPOCH 32 - loss: 0.1471, accuracy: 0.9552 
EPOCH 33 - loss: 0.1468, accuracy: 0.9552 
EPOCH 34 - loss: 0.1464, accuracy: 0.9552 
EPOCH 35 - loss: 0.1457, accuracy: 0.9552 
EPOCH 36 - loss: 0.1453, accuracy: 0.9552 
EPOCH 37 - loss: 0.1448, accuracy: 0.9552 
EPOCH 38 - loss: 0.1443, accuracy: 0.9552 
EPOCH 39 - loss: 0.1438, accuracy: 0.9552 
EPOCH 40 - loss: 0.1436, accuracy: 0.9552 
EPOCH 41 - loss: 0.143, accuracy: 0.9552 
EPOCH 42 - loss: 0.1426, accuracy: 0.9552 
EPOCH 43 - loss: 0.1421, accuracy: 0.9552 
EPOCH 44 - loss: 0.1423, accuracy: 0.9552 
EPOCH 45 - loss: 0.1413, accuracy: 0.9552 
EPOCH 46 - loss: 0.141, accuracy: 0.9552 
EPOCH 47 - loss: 0.1409, accuracy: 0.9552 
EPOCH 48 - loss: 0.1404, accuracy: 0.9552 
EPOCH 49 - loss: 0.1404, accuracy: 0.9552 
EPOCH 50 - loss: 0.1399, accuracy: 0.9552 
EPOCH 51 - loss: 0.1393, accuracy: 0.9552 
EPOCH 52 - loss: 0.139, accuracy: 0.9552 
EPOCH 53 - loss: 0.1388, accuracy: 0.9552 
