EPOCH 1 - loss: 0.7759, accuracy: 0.935 
EPOCH 2 - loss: 0.3059, accuracy: 0.9552 
EPOCH 3 - loss: 0.2058, accuracy: 0.9552 
EPOCH 4 - loss: 0.1909, accuracy: 0.9552 
EPOCH 5 - loss: 0.1831, accuracy: 0.9552 
EPOCH 6 - loss: 0.1781, accuracy: 0.9552 
EPOCH 7 - loss: 0.1747, accuracy: 0.9552 
EPOCH 8 - loss: 0.1717, accuracy: 0.9552 
EPOCH 9 - loss: 0.1689, accuracy: 0.9552 
EPOCH 10 - loss: 0.1664, accuracy: 0.9552 
EPOCH 11 - loss: 0.1638, accuracy: 0.9552 
EPOCH 12 - loss: 0.1618, accuracy: 0.9552 
EPOCH 13 - loss: 0.1598, accuracy: 0.9552 
EPOCH 14 - loss: 0.1583, accuracy: 0.9552 
EPOCH 15 - loss: 0.1566, accuracy: 0.9552 
EPOCH 16 - loss: 0.1551, accuracy: 0.9552 
EPOCH 17 - loss: 0.1543, accuracy: 0.9552 
EPOCH 18 - loss: 0.1528, accuracy: 0.9552 
EPOCH 19 - loss: 0.1517, accuracy: 0.9552 
EPOCH 20 - loss: 0.1507, accuracy: 0.9552 
EPOCH 21 - loss: 0.1497, accuracy: 0.9552 
EPOCH 22 - loss: 0.1489, accuracy: 0.9552 
EPOCH 23 - loss: 0.1481, accuracy: 0.9552 
EPOCH 24 - loss: 0.1474, accuracy: 0.9552 
EPOCH 25 - loss: 0.1466, accuracy: 0.9552 
EPOCH 26 - loss: 0.1461, accuracy: 0.9552 
EPOCH 27 - loss: 0.1454, accuracy: 0.9552 
EPOCH 28 - loss: 0.1452, accuracy: 0.9552 
EPOCH 29 - loss: 0.1444, accuracy: 0.9552 
EPOCH 30 - loss: 0.1435, accuracy: 0.9552 
EPOCH 31 - loss: 0.1429, accuracy: 0.9552 
EPOCH 32 - loss: 0.1425, accuracy: 0.9552 
EPOCH 33 - loss: 0.1423, accuracy: 0.9552 
EPOCH 34 - loss: 0.1415, accuracy: 0.9552 
EPOCH 35 - loss: 0.1411, accuracy: 0.9552 
EPOCH 36 - loss: 0.1406, accuracy: 0.9552 
EPOCH 37 - loss: 0.1401, accuracy: 0.9552 
EPOCH 38 - loss: 0.1394, accuracy: 0.9552 
EPOCH 39 - loss: 0.139, accuracy: 0.9552 
EPOCH 40 - loss: 0.1388, accuracy: 0.9552 
EPOCH 41 - loss: 0.1386, accuracy: 0.9552 
EPOCH 42 - loss: 0.138, accuracy: 0.9552 
EPOCH 43 - loss: 0.1372, accuracy: 0.9552 
EPOCH 44 - loss: 0.1371, accuracy: 0.9552 
EPOCH 45 - loss: 0.1365, accuracy: 0.9552 
EPOCH 46 - loss: 0.1361, accuracy: 0.9552 
EPOCH 47 - loss: 0.136, accuracy: 0.9552 
EPOCH 48 - loss: 0.1357, accuracy: 0.9552 
EPOCH 49 - loss: 0.1355, accuracy: 0.9552 
EPOCH 50 - loss: 0.135, accuracy: 0.9552 
EPOCH 51 - loss: 0.1344, accuracy: 0.9552 
EPOCH 52 - loss: 0.1347, accuracy: 0.9552 
EPOCH 53 - loss: 0.1341, accuracy: 0.9552 
EPOCH 54 - loss: 0.1346, accuracy: 0.9552 
EPOCH 55 - loss: 0.1335, accuracy: 0.9552 
EPOCH 56 - loss: 0.1331, accuracy: 0.9552 
EPOCH 57 - loss: 0.1327, accuracy: 0.9552 
EPOCH 58 - loss: 0.1324, accuracy: 0.9552 
EPOCH 59 - loss: 0.1323, accuracy: 0.9552 
EPOCH 60 - loss: 0.1317, accuracy: 0.9552 
EPOCH 61 - loss: 0.1316, accuracy: 0.9552 
EPOCH 62 - loss: 0.1314, accuracy: 0.9552 
EPOCH 63 - loss: 0.131, accuracy: 0.9552 
EPOCH 64 - loss: 0.1312, accuracy: 0.9552 
EPOCH 65 - loss: 0.1318, accuracy: 0.9552 
EPOCH 66 - loss: 0.1304, accuracy: 0.9552 
EPOCH 67 - loss: 0.1299, accuracy: 0.9552 
EPOCH 68 - loss: 0.1297, accuracy: 0.9552 
EPOCH 69 - loss: 0.1294, accuracy: 0.9552 
EPOCH 70 - loss: 0.129, accuracy: 0.9552 
EPOCH 71 - loss: 0.129, accuracy: 0.9552 
EPOCH 72 - loss: 0.1288, accuracy: 0.9552 
EPOCH 73 - loss: 0.1283, accuracy: 0.9552 
EPOCH 74 - loss: 0.1283, accuracy: 0.9552 
EPOCH 75 - loss: 0.1277, accuracy: 0.9552 
EPOCH 76 - loss: 0.1272, accuracy: 0.9552 
EPOCH 77 - loss: 0.1275, accuracy: 0.9552 
EPOCH 78 - loss: 0.127, accuracy: 0.9552 
EPOCH 79 - loss: 0.1266, accuracy: 0.9552 
EPOCH 80 - loss: 0.1263, accuracy: 0.9552 
EPOCH 81 - loss: 0.1259, accuracy: 0.9552 
EPOCH 82 - loss: 0.1255, accuracy: 0.9552 
EPOCH 83 - loss: 0.1254, accuracy: 0.9552 
EPOCH 84 - loss: 0.1251, accuracy: 0.9552 
