EPOCH 1 - loss: 1.0637, accuracy: 0.0101 
EPOCH 2 - loss: 1.0298, accuracy: 0.0241 
EPOCH 3 - loss: 0.9978, accuracy: 0.1368 
EPOCH 4 - loss: 0.9653, accuracy: 0.5775 
EPOCH 5 - loss: 0.9316, accuracy: 0.9497 
EPOCH 6 - loss: 0.8983, accuracy: 0.9618 
EPOCH 7 - loss: 0.8641, accuracy: 0.9638 
EPOCH 8 - loss: 0.8272, accuracy: 0.9638 
EPOCH 9 - loss: 0.7846, accuracy: 0.9638 
EPOCH 10 - loss: 0.7367, accuracy: 0.9638 
EPOCH 11 - loss: 0.6798, accuracy: 0.9638 
EPOCH 12 - loss: 0.6099, accuracy: 0.9638 
EPOCH 13 - loss: 0.527, accuracy: 0.9638 
EPOCH 14 - loss: 0.4405, accuracy: 0.9638 
EPOCH 15 - loss: 0.3556, accuracy: 0.9638 
EPOCH 16 - loss: 0.2979, accuracy: 0.9638 
EPOCH 17 - loss: 0.2794, accuracy: 0.9638 
EPOCH 18 - loss: 0.2877, accuracy: 0.9638 
EPOCH 19 - loss: 0.2841, accuracy: 0.9638 
EPOCH 20 - loss: 0.2673, accuracy: 0.9638 
EPOCH 21 - loss: 0.2482, accuracy: 0.9638 
EPOCH 22 - loss: 0.2346, accuracy: 0.9638 
EPOCH 23 - loss: 0.2247, accuracy: 0.9638 
EPOCH 24 - loss: 0.2186, accuracy: 0.9638 
EPOCH 25 - loss: 0.2138, accuracy: 0.9638 
EPOCH 26 - loss: 0.2085, accuracy: 0.9638 
EPOCH 27 - loss: 0.2023, accuracy: 0.9638 
EPOCH 28 - loss: 0.1963, accuracy: 0.9638 
EPOCH 29 - loss: 0.1918, accuracy: 0.9638 
EPOCH 30 - loss: 0.1882, accuracy: 0.9638 
EPOCH 31 - loss: 0.1844, accuracy: 0.9638 
EPOCH 32 - loss: 0.1804, accuracy: 0.9638 
EPOCH 33 - loss: 0.1753, accuracy: 0.9638 
EPOCH 34 - loss: 0.1722, accuracy: 0.9638 
EPOCH 35 - loss: 0.1687, accuracy: 0.9638 
EPOCH 36 - loss: 0.1657, accuracy: 0.9638 
EPOCH 37 - loss: 0.1628, accuracy: 0.9638 
EPOCH 38 - loss: 0.1595, accuracy: 0.9638 
EPOCH 39 - loss: 0.1568, accuracy: 0.9638 
EPOCH 40 - loss: 0.1541, accuracy: 0.9638 
EPOCH 41 - loss: 0.1518, accuracy: 0.9638 
EPOCH 42 - loss: 0.15, accuracy: 0.9638 
EPOCH 43 - loss: 0.1477, accuracy: 0.9638 
EPOCH 44 - loss: 0.1458, accuracy: 0.9638 
EPOCH 45 - loss: 0.1441, accuracy: 0.9638 
EPOCH 46 - loss: 0.1427, accuracy: 0.9638 
EPOCH 47 - loss: 0.1413, accuracy: 0.9638 
EPOCH 48 - loss: 0.1404, accuracy: 0.9638 
EPOCH 49 - loss: 0.1395, accuracy: 0.9638 
EPOCH 50 - loss: 0.1382, accuracy: 0.9638 
EPOCH 51 - loss: 0.138, accuracy: 0.9638 
EPOCH 52 - loss: 0.1368, accuracy: 0.9638 
EPOCH 53 - loss: 0.1362, accuracy: 0.9638 
EPOCH 54 - loss: 0.1356, accuracy: 0.9638 
EPOCH 55 - loss: 0.1353, accuracy: 0.9638 
EPOCH 56 - loss: 0.135, accuracy: 0.9638 
EPOCH 57 - loss: 0.134, accuracy: 0.9638 
EPOCH 58 - loss: 0.1349, accuracy: 0.9638 
EPOCH 59 - loss: 0.1338, accuracy: 0.9638 
EPOCH 60 - loss: 0.1341, accuracy: 0.9638 
EPOCH 61 - loss: 0.1332, accuracy: 0.9638 
EPOCH 62 - loss: 0.1331, accuracy: 0.9638 
EPOCH 63 - loss: 0.1323, accuracy: 0.9638 
EPOCH 64 - loss: 0.1321, accuracy: 0.9638 
EPOCH 65 - loss: 0.132, accuracy: 0.9638 
EPOCH 66 - loss: 0.1318, accuracy: 0.9638 
EPOCH 67 - loss: 0.1313, accuracy: 0.9638 
EPOCH 68 - loss: 0.131, accuracy: 0.9638 
EPOCH 69 - loss: 0.1306, accuracy: 0.9638 
EPOCH 70 - loss: 0.1306, accuracy: 0.9638 
EPOCH 71 - loss: 0.1302, accuracy: 0.9638 
EPOCH 72 - loss: 0.1299, accuracy: 0.9638 
EPOCH 73 - loss: 0.1299, accuracy: 0.9638 
EPOCH 74 - loss: 0.13, accuracy: 0.9638 
EPOCH 75 - loss: 0.1298, accuracy: 0.9638 
EPOCH 76 - loss: 0.1286, accuracy: 0.9638 
EPOCH 77 - loss: 0.1291, accuracy: 0.9638 
EPOCH 78 - loss: 0.1289, accuracy: 0.9638 
EPOCH 79 - loss: 0.128, accuracy: 0.9638 
EPOCH 80 - loss: 0.1284, accuracy: 0.9638 
EPOCH 81 - loss: 0.1282, accuracy: 0.9638 
EPOCH 82 - loss: 0.1275, accuracy: 0.9638 
EPOCH 83 - loss: 0.1272, accuracy: 0.9638 
EPOCH 84 - loss: 0.1287, accuracy: 0.9638 
EPOCH 85 - loss: 0.128, accuracy: 0.9638 
EPOCH 86 - loss: 0.1273, accuracy: 0.9638 
EPOCH 87 - loss: 0.1258, accuracy: 0.9638 
EPOCH 88 - loss: 0.1266, accuracy: 0.9638 
EPOCH 89 - loss: 0.126, accuracy: 0.9638 
EPOCH 90 - loss: 0.1257, accuracy: 0.9638 
EPOCH 91 - loss: 0.1253, accuracy: 0.9638 
EPOCH 92 - loss: 0.1251, accuracy: 0.9638 
EPOCH 93 - loss: 0.1266, accuracy: 0.9638 
EPOCH 94 - loss: 0.1255, accuracy: 0.9638 
EPOCH 95 - loss: 0.1265, accuracy: 0.9638 
EPOCH 96 - loss: 0.1238, accuracy: 0.9638 
EPOCH 97 - loss: 0.1243, accuracy: 0.9638 
EPOCH 98 - loss: 0.1229, accuracy: 0.9638 
EPOCH 99 - loss: 0.1266, accuracy: 0.9638 
EPOCH 100 - loss: 0.1235, accuracy: 0.9638 
EPOCH 101 - loss: 0.125, accuracy: 0.9638 
EPOCH 102 - loss: 0.124, accuracy: 0.9638 
EPOCH 103 - loss: 0.123, accuracy: 0.9638 
EPOCH 104 - loss: 0.1223, accuracy: 0.9638 
EPOCH 105 - loss: 0.1218, accuracy: 0.9638 
EPOCH 106 - loss: 0.1223, accuracy: 0.9638 
EPOCH 107 - loss: 0.1214, accuracy: 0.9638 
EPOCH 108 - loss: 0.1221, accuracy: 0.9638 
EPOCH 109 - loss: 0.1216, accuracy: 0.9638 
EPOCH 110 - loss: 0.1188, accuracy: 0.9638 
EPOCH 111 - loss: 0.1194, accuracy: 0.9638 
EPOCH 112 - loss: 0.1172, accuracy: 0.9638 
EPOCH 113 - loss: 0.1158, accuracy: 0.9638 
EPOCH 114 - loss: 0.1139, accuracy: 0.9638 
EPOCH 115 - loss: 0.1112, accuracy: 0.9638 
EPOCH 116 - loss: 0.1089, accuracy: 0.9638 
EPOCH 117 - loss: 0.1063, accuracy: 0.9638 
EPOCH 118 - loss: 0.114, accuracy: 0.9638 
EPOCH 119 - loss: 0.1188, accuracy: 0.9638 
EPOCH 120 - loss: 0.1075, accuracy: 0.9638 
EPOCH 121 - loss: 0.1127, accuracy: 0.9638 
EPOCH 122 - loss: 0.1061, accuracy: 0.9638 
EPOCH 123 - loss: 0.1064, accuracy: 0.9638 
EPOCH 124 - loss: 0.1054, accuracy: 0.9638 
EPOCH 125 - loss: 0.1077, accuracy: 0.9638 
EPOCH 126 - loss: 0.1129, accuracy: 0.9638 
EPOCH 127 - loss: 0.1325, accuracy: 0.9638 
EPOCH 128 - loss: 0.1212, accuracy: 0.9638 
EPOCH 129 - loss: 0.1186, accuracy: 0.9638 
EPOCH 130 - loss: 0.1229, accuracy: 0.9638 
EPOCH 131 - loss: 0.1226, accuracy: 0.9638 
EPOCH 132 - loss: 0.1179, accuracy: 0.9638 
EPOCH 133 - loss: 0.1138, accuracy: 0.9638 
EPOCH 134 - loss: 0.1111, accuracy: 0.9638 
EPOCH 135 - loss: 0.108, accuracy: 0.9638 
EPOCH 136 - loss: 0.1076, accuracy: 0.9638 
EPOCH 137 - loss: 0.1063, accuracy: 0.9638 
EPOCH 138 - loss: 0.1048, accuracy: 0.9638 
EPOCH 139 - loss: 0.1016, accuracy: 0.9638 
EPOCH 140 - loss: 0.1001, accuracy: 0.9638 
EPOCH 141 - loss: 0.1029, accuracy: 0.9638 
EPOCH 142 - loss: 0.1083, accuracy: 0.9638 
EPOCH 143 - loss: 0.1135, accuracy: 0.9638 
EPOCH 144 - loss: 0.1063, accuracy: 0.9638 
EPOCH 145 - loss: 0.1054, accuracy: 0.9638 
EPOCH 146 - loss: 0.1032, accuracy: 0.9638 
EPOCH 147 - loss: 0.1028, accuracy: 0.9638 
EPOCH 148 - loss: 0.1032, accuracy: 0.9638 
EPOCH 149 - loss: 0.1026, accuracy: 0.9638 
EPOCH 150 - loss: 0.1001, accuracy: 0.9638 
EPOCH 151 - loss: 0.106, accuracy: 0.9638 
EPOCH 152 - loss: 0.0986, accuracy: 0.9638 
EPOCH 153 - loss: 0.1035, accuracy: 0.9638 
EPOCH 154 - loss: 0.1043, accuracy: 0.9638 
EPOCH 155 - loss: 0.1016, accuracy: 0.9638 
EPOCH 156 - loss: 0.0994, accuracy: 0.9638 
EPOCH 157 - loss: 0.0988, accuracy: 0.9638 
EPOCH 158 - loss: 0.0976, accuracy: 0.9638 
EPOCH 159 - loss: 0.097, accuracy: 0.9638 
EPOCH 160 - loss: 0.0974, accuracy: 0.9638 
EPOCH 161 - loss: 0.0964, accuracy: 0.9638 
EPOCH 162 - loss: 0.0965, accuracy: 0.9638 
EPOCH 163 - loss: 0.1006, accuracy: 0.9638 
EPOCH 164 - loss: 0.0981, accuracy: 0.9638 
EPOCH 165 - loss: 0.0971, accuracy: 0.9638 
EPOCH 166 - loss: 0.0956, accuracy: 0.9638 
EPOCH 167 - loss: 0.097, accuracy: 0.9638 
EPOCH 168 - loss: 0.0975, accuracy: 0.9638 
EPOCH 169 - loss: 0.0956, accuracy: 0.9638 
EPOCH 170 - loss: 0.095, accuracy: 0.9638 
EPOCH 171 - loss: 0.0959, accuracy: 0.9638 
EPOCH 172 - loss: 0.0961, accuracy: 0.9638 
EPOCH 173 - loss: 0.0946, accuracy: 0.9638 
EPOCH 174 - loss: 0.0948, accuracy: 0.9638 
EPOCH 175 - loss: 0.0942, accuracy: 0.9638 
EPOCH 176 - loss: 0.0935, accuracy: 0.9638 
EPOCH 177 - loss: 0.0926, accuracy: 0.9638 
EPOCH 178 - loss: 0.0944, accuracy: 0.9638 
EPOCH 179 - loss: 0.0935, accuracy: 0.9638 
EPOCH 180 - loss: 0.0924, accuracy: 0.9638 
EPOCH 181 - loss: 0.0999, accuracy: 0.9638 
EPOCH 182 - loss: 0.1018, accuracy: 0.9638 
EPOCH 183 - loss: 0.1083, accuracy: 0.9638 
EPOCH 184 - loss: 0.0989, accuracy: 0.9638 
EPOCH 185 - loss: 0.0966, accuracy: 0.9638 
EPOCH 186 - loss: 0.0997, accuracy: 0.9638 
EPOCH 187 - loss: 0.0944, accuracy: 0.9638 
EPOCH 188 - loss: 0.0924, accuracy: 0.9638 
EPOCH 189 - loss: 0.0905, accuracy: 0.9638 
EPOCH 190 - loss: 0.0912, accuracy: 0.9638 
EPOCH 191 - loss: 0.0921, accuracy: 0.9638 
EPOCH 192 - loss: 0.0946, accuracy: 0.9638 
EPOCH 193 - loss: 0.0909, accuracy: 0.9638 
EPOCH 194 - loss: 0.0892, accuracy: 0.9638 
EPOCH 195 - loss: 0.0943, accuracy: 0.9638 
EPOCH 196 - loss: 0.0943, accuracy: 0.9638 
EPOCH 197 - loss: 0.0896, accuracy: 0.9638 
EPOCH 198 - loss: 0.103, accuracy: 0.9638 
EPOCH 199 - loss: 0.104, accuracy: 0.9638 
EPOCH 200 - loss: 0.103, accuracy: 0.9638 
EPOCH 201 - loss: 0.0876, accuracy: 0.9638 
EPOCH 202 - loss: 0.1064, accuracy: 0.9638 
EPOCH 203 - loss: 0.0987, accuracy: 0.9638 
EPOCH 204 - loss: 0.1105, accuracy: 0.9638 
EPOCH 205 - loss: 0.1015, accuracy: 0.9638 
EPOCH 206 - loss: 0.096, accuracy: 0.9638 
EPOCH 207 - loss: 0.0947, accuracy: 0.9638 
EPOCH 208 - loss: 0.0916, accuracy: 0.9638 
EPOCH 209 - loss: 0.0916, accuracy: 0.9638 
EPOCH 210 - loss: 0.0883, accuracy: 0.9638 
EPOCH 211 - loss: 0.0899, accuracy: 0.9638 
EPOCH 212 - loss: 0.0912, accuracy: 0.9638 
EPOCH 213 - loss: 0.0881, accuracy: 0.9638 
EPOCH 214 - loss: 0.0852, accuracy: 0.9638 
EPOCH 215 - loss: 0.0846, accuracy: 0.9638 
EPOCH 216 - loss: 0.0831, accuracy: 0.9638 
EPOCH 217 - loss: 0.0841, accuracy: 0.9638 
EPOCH 218 - loss: 0.0811, accuracy: 0.9638 
EPOCH 219 - loss: 0.0779, accuracy: 0.9638 
EPOCH 220 - loss: 0.0862, accuracy: 0.9638 
EPOCH 221 - loss: 0.0783, accuracy: 0.9638 
EPOCH 222 - loss: 0.0765, accuracy: 0.9638 
EPOCH 223 - loss: 0.0815, accuracy: 0.9638 
EPOCH 224 - loss: 0.0819, accuracy: 0.9638 
EPOCH 225 - loss: 0.088, accuracy: 0.9638 
EPOCH 226 - loss: 0.0914, accuracy: 0.9638 
EPOCH 227 - loss: 0.0741, accuracy: 0.9638 
EPOCH 228 - loss: 0.0734, accuracy: 0.9638 
EPOCH 229 - loss: 0.1053, accuracy: 0.9638 
EPOCH 230 - loss: 0.0867, accuracy: 0.9638 
EPOCH 231 - loss: 0.0727, accuracy: 0.9638 
EPOCH 232 - loss: 0.0874, accuracy: 0.9638 
EPOCH 233 - loss: 0.0748, accuracy: 0.9638 
EPOCH 234 - loss: 0.0797, accuracy: 0.9638 
EPOCH 235 - loss: 0.0712, accuracy: 0.9638 
EPOCH 236 - loss: 0.0671, accuracy: 0.9638 
EPOCH 237 - loss: 0.0623, accuracy: 0.9638 
EPOCH 238 - loss: 0.0581, accuracy: 0.9638 
EPOCH 239 - loss: 0.0694, accuracy: 0.9638 
EPOCH 240 - loss: 0.0683, accuracy: 0.9638 
EPOCH 241 - loss: 0.0581, accuracy: 0.9638 
EPOCH 242 - loss: 0.0606, accuracy: 0.9879 
EPOCH 243 - loss: 0.0532, accuracy: 0.9759 
EPOCH 244 - loss: 0.0489, accuracy: 0.9859 
EPOCH 245 - loss: 0.0468, accuracy: 0.9839 
EPOCH 246 - loss: 0.047, accuracy: 0.9899 
EPOCH 247 - loss: 0.0485, accuracy: 0.9759 
EPOCH 248 - loss: 0.059, accuracy: 0.9759 
EPOCH 249 - loss: 0.0447, accuracy: 0.9819 
EPOCH 250 - loss: 0.0514, accuracy: 0.9859 
